SubmittedBy,,,,,,,,,,,
SubmittedDate,,,,,,,,,,,
NumberRecords,,,,,,,,,,,
FromLicenseNumber,ToLicenseNumber,FromInventoryExternalIdentifier,ToInventoryExternalIdentifier,Quantity,TransferDate,ExternalIdentifier,CreatedBy,CreatedDate,UpdatedBy,UpdatedDate,Operation
