Id,Old Name,New Name,Notes
2527,House of Cultivar Grand Cru Flower Malibu Marsha - 3.5g,Cultivar Farms House Of Cultivar Grand Cru Malibu Marsha Flower 2,renamed
2497,Karma Hemp Wraps Purple Chill,Karma Hemp Wraps Blunt Wrap,renamed
2488,PICC - Heavyweight Pre-roll Purple Picasso - 1g,Washington Packaging And Processing Picc Purple Picasso Pre-roll 1g,renamed
2481,House of Cultivar Grand Cru Flower Raunchy Runtz - 3.5g,Cultivar Farms House Of Cultivar Grand Cru Raunchy Runtz Flower 3.5g,renamed
2470,Insane Flower Cali Nights - 1g,Northwest Harvesting Co Insane Cali Nights Flower 1g,renamed
2465,LAff Gas Infused Pre-roll Blue Frost & Apple Fritter - 1g,Default Vendor Laff Gas Blue Frost Apple Fritter Infused Pre-roll 1g,renamed
2461,House of Cultivar Flower I-95 - 3.5g,Cultivar Farms House Of Cultivar Ice Cream Man Flower 3.5g,renamed
2449,Insane Flower Cali Nights - 3.5g,Northwest Harvesting Co Insane Cali Nights Flower 3.5g,renamed
2448,DBG Infused Pre-roll Swiss Watch X Kush Mintz - 0.5g,Default Vendor Dbg Swiss Watch Infused Pre-roll 0.5g,renamed
2440,Colors by Cultivar Pre-roll Peepz - 1g,Cultivar Farms Colors By Cultivar Peepz Pre-roll 1g,renamed
2438,House of Cultivar Flower Biscotti - 3.5g,Cultivar Farms House Of Cultivar Biscotti Flower 3.5g,renamed
2407,Karma Hemp Wraps Blazin' Blue,Karma Hemp Wraps Blunt 2,renamed
2399,Super Stingers Infused Pre-roll Afghan Kush - 1g,Cult Cannabis Co. Super Stingers Afghan Skunk Infused Pre-roll 1g,renamed
2387,Royal Tree Gardens Disposable Cartridge Kitchen Sink - 0.5g,Royal Tree Gardens Kitchen Sink Disposable Cartridge 0.5g,renamed
2380,Tasty Tokes Infused Pre-roll Mango - 0.80g,New Leaf Enterprises Tasty Tokes Mango Infused Pre-roll 0.8g,renamed
2330,Liv Templ Infused Pre-roll Blue Raspberry Cough - 0.5g,Default Vendor Liv Templ Blue Raspberry Cough Infused Pre-roll 0.5g,renamed
2325,House of Cultivar Flower SlapZ - 3.5g,Cultivar Farms House Of Cultivar Slapz Flower 3.5g,renamed
2299,Royal Tree Gardens Disposable Cartridge White Tahoe Cookies - 0.5g,Royal Tree Gardens White Tahoe Cookies Disposable Cartridge 0.5g,renamed
2296,Buddies LR Disposable Cartridge Moonshine Haze - 1g,Botanical Arts Buddies Moonshine Haze Disposable Cartridge 1g,renamed
2275,Method Flower Lemon Maraschino - 1g,Crimsoneye Farms Llc Method Lemon Maraschino Flower 1g,renamed
2255,Constellation Rosin Rolo Infused Pre-roll BRUNCH RUNTZ X KOSHER COOKIES - 1g,Alpha Crux Llc Constellation Rosin Rolo Brunch Runtz X Kosher Cookies,renamed
2221,PICC Pre-roll Freddy's Fuego Le Mans Ranier - 1g,Washington Packaging And Processing Picc Freddy's Fuego Le Mans Ranier,renamed
2219,Liv Templ Infused Pre-roll Blue Raspberry Cough - 1g,Default Vendor Liv Templ Blue Raspberry Cough Infused Pre-roll 1g,renamed
2175,Hellavated Infused Pre-roll Tropicalez Punch - 0.75g,Avitas Hellavated Tropicalez Punch Infused Pre-roll 2,renamed
2160,HighTide Rosin Sepang - 1g,Nalley Valley Partners Llc Hightide Sepang Rosin 1g,renamed
2118,HighTide Flower Gumi - 3.5g,Nalley Valley Partners Llc Hightide Gumi Flower 3.5g,renamed
2100,Mammoth Labs Flower Cherry Gelato - 3.5g,Grow Bros Mammoth Labs Cherry Gelato Flower 3.5g,renamed
2068,Hellavated Gummies Blueberry Blitz Sourz - 2.60oz,Avitas Hellavated Blueberry Blitz Sourz Gummies 2.6oz,renamed
2062,Constellation Rosin Rolo Infused Pre-roll PURPLE ACID DRIP X KOSHER COOKIES - 1g,Alpha Crux Llc Constellation Rosin Rolo Purple Acid Drip X Kosher Cookies,renamed
2004,Plug N Play Disposable Cartridge Caesar - 1g,Northwest Harvesting Co Plug N Play Caesar Disposable Cartridge 1g,renamed
