Id,Old Name,New Name,Notes
,Svin Gardens-Live Resin Disposables-Tangerine Borealis-1g,Svin Tangerine Borealis 1 Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,hashbreak - - Rosin Vape - GMO - 1g,Torus Gmo Rosin 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,SMC - Smokeless Shatter J - Melon Guava - 1g,Shatter J's Melon Guava Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Stingers - 5pk .5g Pre-Rolls - Dutch Haze - 2.5g,Stinger Dutch Haze Infused Pre-roll 2.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Fire Bros Disposable Squeezy,Fire Bros Squeezy Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,SPR - 1g Hash Rosin Infused Blunt - Orangeade x Blue Slushie,Spr Orangeade X Blue Slushie Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Suspended Pre Roll Maui Wowie 1g,Suspended Maui Wowie Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Nano Dopio - Caramel Fly (100mg THC;100mg CBG)(56.8g),Green Revolution Caramel Fly Shots 2floz,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,FL JAR4 3.5g RESBOLD - Super Boof,Walden Super Boof Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Ooowee - 5/1G Pre-Roll - White Peach - 5g,Ooowee White Peach Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,5-1 gram Pre-Roll packs - Candy Gassy - 5g,Mz. A Candy Gas Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,1937 - Pre-Rolls .5 x 2 pack - Grape Mochi - 1g,1937 Grape Mochi Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,BWX BOX 1g WALFREE - Mimosa Runtz Sugar Wax,Walden Mimosa Bho 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Suspended Flower Commando #7 - 1g,Suspended Commando 7 Flower 1g,no_vendor_column;no_cannabinoid_columns;master_of_4_duplicates;renamed
,LIVE extract - MINT CONDITION - 1g,Downtown Mint Condition Live Resin 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Fireline Cannabis 10 pk 0.5g - (H) - Papaya,Fireline Cannabis Papaya Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Pre-Rolls - Tangerine Borealis - 2x.5g,Svin Tangerine Borealis 1 Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_4_duplicates;renamed
,Golden Nuggets - Pineapple Bang - 7g (Finest),Freddy's Fuego Pineapple Bang Flower 7g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Phat Panda Pre-roll Raspberry Kush,Phat Panda Raspberry Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Downtown FLOWER - TWISTED TOAST - 1g,Downtown Twisted Toast Flower 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Wildside Beverage Blueberry Acai Indica MAX Shot 2:1:1 THC:CBD:CBN - 2oz,Wildside Blueberry Acai 2:1:1 Beverage 2floz,no_vendor_column;no_cannabinoid_columns;renamed
