Id,Old Name,New Name,Notes
,Pioneer Squares Edible Watermelon Kiwi - 3.5oz,Pioneer Squares Watermelon Kiwi Edible 3.5oz,no_vendor_column;no_cannabinoid_columns;renamed
,GMO x Forbidden Fruit LR Sticky Frog Sugar,Phat Panda Gmo X Forbidden Live Resin 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Fire Bros-Pre-Roll-Lemon Pastries-1g,Fire Bros Lemon Pastries Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Lil Rays Hash Rosin Original Lemonade - 1.75oz,Rays Lemonade Lemonade Liquid Infused Edible 1.75floz,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Raging Goat - RG Flower 3.5g - Northern Lights - 3.5g,Captain Yeti Northern Lights Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Legacy Reserve -  Flower - Funfetti - 3.5g,Legacy Organics Funfetti Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,Pioneer Squares-Gummies-Pineapple Crush-100mg,Pioneer Squares Pineapple Crush Gummies 3oz,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Gummy Bombs - GB HUCKLEBERRY LEMONADE 100mg - Huckleberry - 100mg,Clarity Farms Huckleberry Edible 100mg,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Terpnado - TN BAR 1g - Yeti Fruit OG - 1g,Clarity Farms Yeti Fruit Og Disposable Cartridge 1g,collapsed_duplicate;merged_into_master
,1g GoodGood AIO - Pineapple Pop (S),Goodgood Pineapple Pop Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Northwest Concentrates - CLASSIC DABS - GG4 - 1g [ I ],Northwest Concentrates Gg 4 Bho 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,MFused - Cartridge - Maui Pineapple (S) -1g,Mfused Maui Pineapple Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Heavenly Buds - Full Flower Little Snappers Gushers 1g,Heavenly Buds Gushers Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Beetlejuice w/THCA - 1g,Frosted Cannabis Beetlejuice Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,Dougie Blunts - Huckleberry Cheesecake - 1 gram,Avitas Huckleberry Infused Blunt 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Tyson 2.0 Full Flower PreRolls (Gelato #44 1gx1),Tyson 2.0 Gelato 44 Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Tilted-Flower-Ripped Off Runtz-3.5g,Tilted Ripped Off Runtz Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_4_duplicates;renamed
,ZEN Balanced Effects Cartridge Blood Orange CBN 2:1 - 1g,Zen Balanced Effects Blood Orange CBN 2:1 Cartridge 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Ooowee - Live Resin - B - 1G Disposable - Late Bloomer - 1g,Ooowee Late Bloomer Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Dungeness Dank - Hash Rosin - GG#4 - 1g,Dungeness Dank Gg 4 Hash Rosin 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Ooowee - 5/1g Pre-Roll - Ooowee - Sunset Lemonade - 5g,Ooowee Sunset Lemonade Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;renamed
,High Tide Flower Whistle Tip - 1g,High Tide Whistle Tip Flower 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Zen Flower GMO x OZ 3.5g,Zen Cannabis Gmo Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,2727 - Pre-Rolls - 2727 - DOH - Garlic Breath - 5g,2727 Garlic Breath Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Tilted-Flower-GMO Mind Flayer-3.5g,Tilted Gmo Mindflayer Flower 3.5g,collapsed_duplicate;merged_into_master
,SUBX SELECT Slush - Orange Poison - 1g,Subx Orange Poison Bho 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Torus - Flower - Permanent Marker - 3.5g,Torus Permanent Marker Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Heavenly Buds Moroccan Hash - Orange Diesel - 1g,Heavenly Buds Orange Diesel Hash 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Doozies Gummies Peach 60:1 - 2.8oz,Doozies Peach Gummies 2.8oz,no_vendor_column;no_cannabinoid_columns;renamed
,Mama J's Flower Super Boof 3.5g,Mama J's Super Boof Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Sky High Flower - Sherb Cocktail - 3.5g,Sky High Gardens Sherb Cocktail Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Metaverse [3.5g] [Luxury Line] [D.O.H. COMPLIANT],Lifted Metaverse Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Colors - Bulletproof - 3.5g - Flower,Colors By Cultivar Bulletproof Flower 3.5g,no_vendor_column;no_cannabinoid_columns;renamed
,Trees Co & High Tide Hash Hole 1g - Grape Gas & Maple Barz (H) DOH,Picc Grape Gas Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Ooowee - Live Resin - B - 1G Disposable - Truffle Oreos - 1g,Ooowee Truffle Oreos Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,SUBX SIGNATURE Flower - GMO - 1g,Subx Gmo Flower 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Smokiez Blackberry-Indica- Fruit Chew - 100mg,Smokiez Blackberry Edible 60g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Smokiez Sour Sleepy Watermelon Trifecta CBN:CBD:THC 2:2:1 Fruit Chews,Smokiez Sour Watermelon Fruit Chews 60g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,Slapple ( I/H ) - Flipside Gold BHO/Ethanol Extracted Disposable 1g,Flipside Slapple Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Ola Bright (SLH) - 2oz,Ola Bright (slh) Other Liquid Edible 2floz,no_vendor_column;no_cannabinoid_columns;renamed
,Collections - T2 - Hash Rosin - Sour Mintz - (DOH) - 1g,Blue Roots Sour Mintz Hash Rosin 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Flower - Double Dipped Strawberries - 1g,Sky High Gardens Double Dipped Strawberries Flower 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Fireline Cannabis Live Resin Skatalite - 1g,Fireline Cannabis Skatalite Live Resin 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Deaux Pre-roll Whiskered Tree Swift 1.2g,Deaux Whiskered Tree Swift Pre-roll 1.2g,no_vendor_column;no_cannabinoid_columns;renamed
,High End Farms Pre-roll Sour Tangie - 1g,High End Farms Sour Tangie Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Heavenly Buds Pre-roll Papaya Melonz #7 - 5g,Heavenly Buds Papaya Melonz 7 Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;renamed
,FDG Flower Chem Trailz - 7g,Fdg Chem Trailz Flower 7g,no_vendor_column;no_cannabinoid_columns;renamed
,Canna Whupass - CW Vape Cartridge - Washington Apple - Mixed - 1g,Canna Organix Wa Apple Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Full Spec Cadet Cartridge Purple Punch (I),Full Spec Purple Punch Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,MAJOR Tall - 6.7oz - Atomic Apple 100mg THC,Evergreen Herbal Atomic Apple Beverage 6.7floz,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Green Revolution Topical Solace - 3oz,Green Revolution Solace Topical 3oz,no_vendor_column;no_cannabinoid_columns;renamed
,Ooowee - 5/1G Infused PreRoll - Super Lemon Haze - 5g,Ooowee Super Lemon Haze Infused Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,HiKu - DOH DIST - Passion Orange Guava - HiKu 1oz Tincture - Passion Orange Guava - 30g,Seattle Bubble Works Passion Orange Guava Tincture 1floz,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Stingers - 2pk .5g Pre-Rolls - Cinderella 99 - 1g,Stinger Cinderella 99 Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Kelso Kandy-Infused pre-roll-Blue Hawaiian-.8g,Clarity Farms Blue Hawaiian Infused Pre-roll 0.88g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,.5g Isolated Pre-Rolled Cones 6pk - Isolated Blue Dream Pre-Rolled Cones - 3g,Trichome Blue Dream Infused Pre-roll 3g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Green Reaper Live Resin Badder - Snoops Dream - 1g,Green Reaper Snoop's Dream Badder 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Canna Organix Sauced & Tossed Zkittlez - 1g,Canna Organix Zkittlez Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Canna Whupass - CW Vape Cartridge - Peach Ringz - Mixed - 1g,Canna Organix Peach Ringz Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Canna Organix - Custard - Lemon Cherry Gelato - 1g,Canna Organix Lemon Cherry Gelato Bho 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Fine Detail Greenway-Pre-Roll-Melonoz-Hybrid 50/50-1g,Fine Detail Greenway Melonoz Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,tasty tokes Infused Pre-roll Orange Creamsicle - 0.80g,Tasty Tokes Orange Creamsicle Infused Pre-roll 0.8g,no_vendor_column;no_cannabinoid_columns;renamed
,Freddy's Fuego Pirate Crystals - Lemon Shortbread - 1g,Freddy's Fuego Lemon Shortbread Sugar 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Torus Flower Cherry Amaretto 3.5g,Torus Cherry Amaretto Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Skord Flower- Mintwoods - 03.5g,Skord Mintwoods Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Diamond Dusted Pre-Roll - Donut Resin DDP - 1g,Trichome Donut Resin Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,Phat Panda Flower Powdered Donut- 3.5g,Phat Panda Powdered Donut Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Ooowee - JUICED 5/1G Infused PreRoll - Ooowee - Sticky Melon - Gusherlicious - 5g,Ooowee Gusherlicious Infused Pre-roll 5g,collapsed_duplicate;merged_into_master
,Hellavated Juicy Stickz Pre-Roll 5 Pack - Blueberry Dream - 3.75 grams,Hellavated Blueberry Dream Infused Pre-roll 3.75g,no_vendor_column;no_cannabinoid_columns;renamed
,SELECT Batter - Alley Oop - 1g,Sub X Alley Oop Badder 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,hashbreak - Pre Rolls (Infused) - Wild Berry Punch - 1g,Torus Wild Berry Punch Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Sativa - Gusherz Snickle Fritz AIO,Phat Panda Gusherz Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Pastime Liquid Diamonds Disposable Vape - Sativa - Grape Taffy - 1g,Pastime Grape Taffy Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Super Lemon Haze 3.5G,Soulshine Super Lemon Haze Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,SuperMegaBussin - BHO - Conejito - 1g,2727 Conejito Bho 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,SPR - 2pk Joint Box (2g) - Pure Krush,Spr Pure Krush Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Hustler's Ambition - Preroll Packs - Green Goblin - (0.5gx7),Local Farmers Green Goblin Pre-roll 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Doozies - Peach 1:1 ELEVATE 10 Pack (80g) (100mg CBD;100mg THC),Doozies Peach Edible 1g,no_vendor_column;no_cannabinoid_columns;renamed
,DBG 1g - Robots (Harmony) & Gelato Cookie Kush (Inland Desert) (H) DOH,Dbg Robots Gelato Cookie Kush Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Heavenly Buds - Bubble Hash - Strawberry Bubbles DOH - 1g,Heavenly Buds Strawberry Bubbles Bubble Hash 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,ThunderChief - Pre-Rolls 5x0.5g TC - Florida Man - 2.5g,Thunder Chief Floridaman Pre-roll 2.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Creamsicle Slush [1g] [All-In-One],Lifted Creamsicle Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Seattle Bubble Works- Blunt Bomb - GMO (I) - 4g,Gmo Infused Blunt 4g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Honey Stixx - 2Pk - Crystal - God's Gifts X Permafrost,Honey Stixx God's Gifts X Permafrost Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Seattle Bubble Works Joint - Trainwreck (S) - 5g,Sitka Trainwreck Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,1937 - 7g Regular Buds - Grape Mochi - 7g,1937 Grape Mochi Flower 7g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Incredibulk-Cartridge-Amnesia Haze-1g,Clarity Farms Amnesia Haze Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,FLOWER - SPRINKLES - 3.5g,Downtown Sprinkles Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Phat Panda Bone Collector 1g Preroll,Phat Panda Bone Collector Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Collections - T2 - Hash Rosin - Xeno - 1g,Fugu Farms Xeno Rosin 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Gelato Cake - 1g - Live Resin Cartridge,Mama J's Gelato Cake Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Torus Rosin cantucci - 1g,Torus Cantucci Rosin 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Flower - Heladosa - 1g,Sky High Gardens Heladosa Flower 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,High Hemp Blunt Wrap Maui Mango,High Hemp Blunt Wrap Maui Mango,no_vendor_column;no_cannabinoid_columns;noncannabis_cleaned_original_name
,M80 Dynalite Infused Pre-roll Twizzle Dance - 3g,M80 Dynalite Twizzle Dance Infused Pre-roll 3g,no_vendor_column;no_cannabinoid_columns;renamed
,Cured Resin Blunt - Tamalez - 2g,Fire Bros Tamalez Infused Blunt 2g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Thunder Stix - Tilted-DOH-Glass Tip Preroll (1.2g) / Spritzer (H),Tilted Spritzer Infused Pre-roll 1.2g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Canna Organix - Liquid Diamond's Live Resin Cartridge - Cereal Milk - 1g,Canna Organix Cereal Milk Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Deaux Pre-roll Pompadour Contiga 1.2g,Deaux Pompadour Cotinga Pre-roll 1.2g,no_vendor_column;no_cannabinoid_columns;renamed
,Swifts Edibles - Choc Cov-Sand Cookie-100mg - Hybrid - 60g,Swifts Hybrid Chocolate 60g,no_vendor_column;no_cannabinoid_columns;renamed
,Legacy-Infused Pre-roll-2pk Pink Runtz-1g,Legacy Organics Pink Runtz Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Evergreen Herbal Rosin Day w/ CBG,Evergreen Herbal Day Rosin 1g,no_vendor_column;no_cannabinoid_columns;renamed
,MFUSED Cartridge Galactic Grape 1g Tank,Mfused Galactic Glue Cartridge 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Fine Detail Greenway-Flower-White Tahoe Cookies-Indica Dominant-7g,Fine Detail Greenway White Tahoe Cookies Flower 7g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Heavenly Buds pre-roll Papaya Melonz #7 DOH - 1g,Heavenly Buds Papaya Melonz 7 Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Zoots - Gummies - REST - CBN 2:1 - Hibiscus Guava Honey,Zoots Hibiscus Gummies 40g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,2727 - Vape Cart - 2727 - Ice Cream Cake - 1g,2727 Ice Cream Cake Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Packaged Flower - GG #4 - 3.5g,Fdg Gg 4 Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Trichome Raw Flower - June Plum - 3.5g,Trichome June Plum Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Sub X Pre-Roll - Citrus Rain - 2pk,Sub X Citrus Rain Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Second Nature Infused Pre-roll BOTTOMLESS MIMOSA BOMBER - 5g,Second Nature Bottomless Mimosa Infused Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;renamed
,Trichome Infused Pre-roll Super Lemon Haze - 1g,Trichome Super Lemon Haze Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,SPR - Bahama Mama - 3.5g,Seattle's Private Reserve Bahama Mama Flower 3.5g,no_vendor_column;no_cannabinoid_columns;renamed
,Melted Diamond Badder - Banana Clips - 1g,Melted Banana Clips Badder 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Moonshot Hash Rosin Beverage Green Apple - 1.7oz,Moonshot Hash Rosin Green Apple Beverage 1.7floz,no_vendor_column;no_cannabinoid_columns;renamed
,House of Cultivar Grand Cru Flower Raunchy Runtz - 3.5g,House Of Cultivar Grand Cru Raunchy Runtz Flower 3.5g,no_vendor_column;no_cannabinoid_columns;renamed
,Freddy's Fuego Flower - Dantes Inferno - 3.5g (Legacy),Freddy's Fuego Dante's Inferno Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Permanent Push Pop SugarStix [1g],Lifted Permanent Push Pop Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,RSO - LA Kush Cake - 1g,Trichome Kush Cake RSO 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Platinum Flower (Trophy Wife - Platinum Line/7g),Phat Panda Trophy Wife Flower 7g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,DST CART 1g WALCOZY - Northern Lights #5 DOH,Walden North Light 5 Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,M80 Dynalite 1/2g Dutch Treat (Harmony) & Blueberry (Sativa Group / PR) (I),Picc Dutch Treat Infused Pre-roll 1.5g,no_vendor_column;no_cannabinoid_columns;renamed
,Applesauce AIO - BlackScotti - 1g,Trichome Blackscotti Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Honey Stixx - 2Pk - Crystal - Peach Crescendo X Strawberry Banana,Honey Stixx Peach Crescendo X Strawberry Banana Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Super Mega Bussin' - Disposable - SMB - Gelato Runtz - 1g,Gelato Runtz Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Stingers - 5pk .5g Pre-Rolls - Durban Poison - 2.5g,Stinger Durban Poison Infused Pre-roll 2.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Sky High Gardens Rosin Sundae Ecstacy 1g,Sky High Gardens Sundae Ecstacy Rosin 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Liquid Diamond Disposables - Jacuzzi - 1g,Svin Jacuzzi Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Uninfused 1g Pot of Gold - Crumpets (S),Picc Crumpets Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Green Reaper - Indoor Popcorn Flower - Popscottie - 14g,Green Reaper Popscottie Flower 14g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,High Tide Flower Lemon Cherry Rocket - 1g,Hightide Lemon Cherry Rocket Flower 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Get Bent Flower / Black Mamba - 3.5g,Get Bent Black Mamba Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Ooowee - Pre-Roll Digital Hash Hole - Ooowee Marker - 0.75g,Ooowee Ooowee Marker Infused Pre-roll 0.75g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,2727 - BHO - Candy Runtz - 1g,2727 Candy Runtz Bho 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Fire Bros Pre-roll Variety Pack 2.5g,Fire Bros Variety Pack 1 Pre-roll 2.5g,no_vendor_column;no_cannabinoid_columns;renamed
,Ooowee - JUICED 5/1G Infused PreRoll - Blueberry Dream - Sour Gum - 5g,Ooowee Sour Gum Infused Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;renamed
,Torus - Flower - Guava Tart - 3.5g,Torus Guava Tart Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Lifted Luxury  Flower Electric Peanut Butter Cookies - 3.5g,Lifted Luxury Electric Peanut Butter Cookies Flower 3.5g,no_vendor_column;no_cannabinoid_columns;renamed
,Torus - Flower - Cereal Milk #6 - 28g,Torus Cereal Milk Flower 28g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,ThunderChief - Flower 3.5g TC - Hawaiian Rain - 3.5g,Thunder Chief Hawaiian Rain Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,DBG Infused Pre-roll Alien OG x Mega Glue - 0.5g,Dbg Alien Og X Mega Glue Infused Pre-roll 0.5g,no_vendor_column;no_cannabinoid_columns;renamed
,Canna Cantina Shot - Lime - 100mg - DOH,Constellation Lime Shots 1floz,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Twisted Disposable Cartridge Purple Washington Apple Bowl - 1g,Twisted Purple Washington Apple Bowl Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Capsules RSO Original - Purple Cadillac - CBN - DOH+,Skagit Organics Purple Cadillac Capsule 4.5g,no_vendor_column;no_cannabinoid_columns;renamed
,Torus - Pre-Rolls - Lemon Heads #3 - 1g,Torus Lemon Heads Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Luxor Cured [1g] [All-In-One],Lifted Cannabis Luxor Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Suspended Flower Super Boof -7g,Suspended Super Boof Flower 7g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Ooowee - JUICED 5/1G Infused PreRoll - Seattle Strawberry Cough - Seattle Strawberry Cough - 5g,Ooowee Seattle Strawberry Cough Infused Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Sativa - Maui Wowie Panda Pen - 3pk,Phat Panda Maui Wowie Cartridge 3g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Fruit Loop Haze - 1g - Live Resin Disposable,Mama J's Fruit Loops Haze Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,BFF All In One Baby Shark - 1g,Buddies Baby Shark Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Royal Blunt Wraps Naked,Royal Blunt Wraps Naked,no_vendor_column;no_cannabinoid_columns;noncannabis_cleaned_original_name
,Downtown flower sour kush 3.5g,Downtown Sour Kush Flower 3.5g,no_vendor_column;no_cannabinoid_columns;renamed
,K-Savage Pre-roll Blue Note,K Savage Blue Note Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,".75g Trichome InTERPreter Pre-Rolls, 2ct - Bubble Bath+TD - 1.5g",Trichome Bubble Bath + Grb Infused Pre-roll 1.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Ceres Balls Sativa Dragon Balls - 2.00oz,Ceres Sativa Dragon Balls Balls 2oz,no_vendor_column;no_cannabinoid_columns;renamed
,Seattle Bubble Works Hash Blunt - Super Boof (H) - 0.75g,Superboof Blunt 0.75g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,2pk Joints - Strawberry Gary - 2g,Greenleaf Mj Strawberry Gary Pre-roll 2g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Wyld Gummies Grapefruit 1:1:1 THC:CBG:CBC Sativa - 1.4oz,Wyld Grapefruit Gummies 1.4oz,no_vendor_column;no_cannabinoid_columns;renamed
,Fire Bros Live Resin Dixie Kong CBDabs - 2g,Fire Bros Dixie Kong Bho 2g,no_vendor_column;no_cannabinoid_columns;renamed
,Suspended THC ICEBERG Superboof- 1g,Suspended Super Boof Moon Rocks 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Micro Bar The Capsule Collection Disposable Cartridge Watermelon OG - 1g,Micro Bar The Capsule Collection Watermelon Og Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Journeyman 50:1 Sour Strawberry CBD Jellies,Journeyman Sour Strawberry Gummies 85g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Ooowee - 5/1g Pre-Roll - Ooowee - FaceLock - 5g,Ooowee Facelock Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;renamed
,Dougie Blunts - Sour Beltz - 1 gram,Avitas Sour Beltz Infused Blunt 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,The Collective - PreRoll - 1g - Ghost Ship,Local Farmers Ghost Ship Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
